Gene stable ID,Gene stable ID version,Gene start (bp),Gene end (bp),Chromosome/scaffold name,Gene name,Mouse gene stable ID,Mouse gene name,Mouse chromosome/scaffold name,Mouse chromosome/scaffold start (bp),Mouse chromosome/scaffold end (bp),Mouse homology type,"Mouse orthology confidence [0 low, 1 high]",Mouse Whole-genome alignment coverage
ENSG00000183318,ENSG00000183318.11,8753106,8758559,17,SPDYE4,ENSMUSG00000029586,Spdye4b,5,143181017,143205075,ortholog_many2many,0,5.58
ENSG00000185156,ENSG00000185156.6,8797110,8799365,17,MFSD6L,ENSMUSG00000048329,Mfsd6l,11,68556186,68558245,ortholog_one2one,1,100.00
ENSG00000276231,ENSG00000276231.5,8802722,8867677,17,PIK3R6,ENSMUSG00000046207,Pik3r6,11,68503019,68552698,ortholog_one2one,1,100.00
ENSG00000141506,ENSG00000141506.13,8878911,8965712,17,PIK3R5,ENSMUSG00000020901,Pik3r5,11,68432121,68497849,ortholog_one2one,1,100.00
ENSG00000065320,ENSG00000065320.9,9021510,9244000,17,NTN1,ENSMUSG00000020902,Ntn1,11,68209364,68400823,ortholog_one2one,1,100.00
ENSG00000170310,ENSG00000170310.15,9250471,9576591,17,STX8,ENSMUSG00000020903,Stx8,11,67966193,68207148,ortholog_one2one,1,100.00
ENSG00000166596,ENSG00000166596.15,9576627,9643447,17,CFAP52,ENSMUSG00000020904,Cfap52,11,67924806,67965651,ortholog_one2one,1,100.00
ENSG00000154914,ENSG00000154914.17,9644698,9729687,17,USP43,ENSMUSG00000020905,Usp43,11,67854523,67922153,ortholog_one2one,1,100.00
ENSG00000184544,ENSG00000184544.11,9771434,9791297,17,DHRS7C,ENSMUSG00000033044,Dhrs7c,11,67798187,67816002,ortholog_one2one,1,100.00
ENSG00000214978,ENSG00000214978.7,9802386,9822071,17,GSG1L2,ENSMUSG00000097886,Gsg1l2,11,67774608,67789898,ortholog_one2one,1,100.00
ENSG00000065325,ENSG00000065325.13,9822206,9892099,17,GLP2R,ENSMUSG00000049928,Glp2r,11,67661502,67771153,ortholog_one2one,1,100.00
ENSG00000109047,ENSG00000109047.8,9896320,9905271,17,RCVRN,ENSMUSG00000020907,Rcvrn,11,67695326,67703333,ortholog_one2one,1,100.00
ENSG00000007237,ENSG00000007237.18,9910609,10198551,17,GAS7,ENSMUSG00000033066,Gas7,11,67455091,67688990,ortholog_one2one,1,100.00
ENSG00000006788,ENSG00000006788.14,10300865,10373130,17,MYH13,ENSMUSG00000060180,Myh13,11,67321658,67371586,ortholog_one2one,1,100.00
ENSG00000133020,ENSG00000133020.4,10390322,10421950,17,MYH8,ENSMUSG00000055775,Myh8,11,67277124,67308634,ortholog_one2one,1,100.00
ENSG00000109061,ENSG00000109061.10,10492307,10518542,17,MYH1,ENSMUSG00000056328,Myh1,11,67200052,67224575,ortholog_one2one,1,100.00
ENSG00000109063,ENSG00000109063.15,10628526,10657309,17,MYH3,ENSMUSG00000020908,Myh3,11,67078300,67102291,ortholog_one2one,1,100.00
ENSG00000133028,ENSG00000133028.12,10672474,10698375,17,SCO1,ENSMUSG00000069844,Sco1,11,67052670,67067070,ortholog_one2one,1,100.00
ENSG00000170222,ENSG00000170222.12,10697594,10711558,17,ADPRM,ENSMUSG00000020910,Adprm,11,67037905,67052594,ortholog_one2one,1,100.00
ENSG00000187824,ENSG00000187824.9,10699015,10730023,17,TMEM220,ENSMUSG00000050270,Tmem220,11,67025154,67035312,ortholog_one2one,1,97.03
ENSG00000263429,ENSG00000263429.3,10794913,10804099,17,TMEM238L,ENSMUSG00000085683,Tmem238l,11,66956638,66965016,ortholog_one2one,1,100.00
ENSG00000233670,ENSG00000233670.7,10822470,10838087,17,PIRT,ENSMUSG00000048070,Pirt,11,66911981,66929876,ortholog_one2one,1,100.00
ENSG00000188803,ENSG00000188803.15,11241213,11564063,17,SHISA6,ENSMUSG00000053930,Shisa6,11,66211725,66525964,ortholog_one2one,1,100.00
ENSG00000007174,ENSG00000007174.18,11598470,11969748,17,DNAH9,ENSMUSG00000056752,Dnah9,11,65831282,66168551,ortholog_one2one,1,100.00
ENSG00000154957,ENSG00000154957.14,11977439,11997475,17,ZNF18,ENSMUSG00000018347,Zkscan6,11,65807175,65829239,ortholog_one2one,1,100.00
ENSG00000065559,ENSG00000065559.15,12020829,12143830,17,MAP2K4,ENSMUSG00000033352,Map2k4,11,65688243,65788297,ortholog_one2one,1,100.00
ENSG00000266297,ENSG00000266297.1,12081899,12081996,17,MIR744,ENSMUSG00000076460,Mir744,11,65734733,65734832,ortholog_one2one,1,
ENSG00000141052,ENSG00000141052.18,12665890,12768949,17,MYOCD,ENSMUSG00000020542,Myocd,11,65176561,65269989,ortholog_one2one,1,100.00
ENSG00000006740,ENSG00000006740.17,12789498,12991643,17,ARHGAP44,ENSMUSG00000033389,Arhgap44,11,65002039,65162961,ortholog_one2one,1,99.92
ENSG00000006744,ENSG00000006744.19,12991612,13018065,17,ELAC2,ENSMUSG00000020549,Elac2,11,64979038,65002069,ortholog_one2one,1,100.00
ENSG00000153976,ENSG00000153976.3,13494032,13601929,17,HS3ST3A1,ENSMUSG00000047759,Hs3st3a1,11,64435332,64522841,ortholog_one2one,1,100.00
ENSG00000006695,ENSG00000006695.12,14069490,14231736,17,COX10,ENSMUSG00000042148,Cox10,11,63962627,64079468,ortholog_one2one,1,100.00
ENSG00000125430,ENSG00000125430.9,14301081,14349404,17,HS3ST3B1,ENSMUSG00000070407,Hs3st3b1,11,63885792,63922290,ortholog_one2one,1,100.00
ENSG00000109099,ENSG00000109099.16,15229773,15272292,17,PMP22,ENSMUSG00000018217,Pmp22,11,63128982,63159547,ortholog_one2one,1,100.00
ENSG00000125409,ENSG00000125409.13,15303811,15341632,17,TEKT3,ENSMUSG00000042189,Tekt3,11,63061654,63094964,ortholog_one2one,1,100.00
ENSG00000239704,ENSG00000239704.11,15436015,15503608,17,CDRT4,ENSMUSG00000042200,Cdrt4,11,62951193,62993095,ortholog_one2one,0,100.00
ENSG00000259024,ENSG00000259024.6,15436021,15563561,17,TVP23C-CDRT4,ENSMUSG00000014177,Tvp23b,11,62879455,62916780,ortholog_one2many,1,97.03
ENSG00000221926,ENSG00000221926.13,15627960,15684311,17,TRIM16,ENSMUSG00000047821,Trim16,11,62820231,62850808,ortholog_one2many,1,100.00
ENSG00000187607,ENSG00000187607.16,15699577,15720787,17,ZNF286A,ENSMUSG00000047342,Zfp286,11,62752577,62789462,ortholog_one2many,1,94.19
ENSG00000255104,ENSG00000255104.8,15699692,15744778,17,AC005324.4,ENSMUSG00000047342,Zfp286,11,62752577,62789462,ortholog_one2many,1,93.74
ENSG00000170425,ENSG00000170425.3,15944917,15975746,17,ADORA2B,ENSMUSG00000018500,Adora2b,11,62248984,62266453,ortholog_one2one,1,100.00
ENSG00000214941,ENSG00000214941.8,15976560,15999717,17,ZSWIM7,ENSMUSG00000014243,Zswim7,11,62267224,62281375,ortholog_one2one,1,100.00
ENSG00000011295,ENSG00000011295.16,15999784,16045015,17,TTC19,ENSMUSG00000042298,Ttc19,11,62281473,62328451,ortholog_one2one,1,100.00
ENSG00000141027,ENSG00000141027.21,16029157,16218185,17,NCOR1,ENSMUSG00000018501,Ncor1,11,62316426,62458541,ortholog_one2one,1,100.00
ENSG00000108474,ENSG00000108474.17,16217191,16351797,17,PIGL,ENSMUSG00000014245,Pigl,11,62458460,62514417,ortholog_one2one,1,100.00
ENSG00000166582,ENSG00000166582.10,16342534,16353656,17,CENPV,ENSMUSG00000018509,Cenpv,11,62524946,62539261,ortholog_one2one,1,100.00
ENSG00000170315,ENSG00000170315.14,16380798,16382745,17,UBB,ENSMUSG00000019505,Ubb,11,62551171,62553213,ortholog_one2one,1,94.08
ENSG00000187688,ENSG00000187688.15,16415571,16437003,17,TRPV2,ENSMUSG00000018507,Trpv2,11,62574486,62600515,ortholog_one2one,1,100.00
ENSG00000277108,ENSG00000277108.1,16439505,16439576,17,SNORD49B,ENSMUSG00000064437,Snord49b,11,62603079,62603150,ortholog_one2one,1,
ENSG00000277370,ENSG00000277370.1,16440036,16440106,17,SNORD49A,ENSMUSG00000065734,Snord49a,11,62603450,62603521,ortholog_one2one,1,
ENSG00000277512,ENSG00000277512.1,16441226,16441298,17,SNORD65,ENSMUSG00000077457,Snord65,11,62604515,62604586,ortholog_one2one,0,
ENSG00000181350,ENSG00000181350.12,16441577,16492193,17,LRRC75A,ENSMUSG00000046417,Lrrc75a,11,62604884,62648523,ortholog_one2one,1,100.00
ENSG00000141040,ENSG00000141040.15,16546954,16569204,17,ZNF287,ENSMUSG00000005267,Zfp287,11,62700356,62731905,ortholog_one2one,1,100.00
ENSG00000240505,ENSG00000240505.9,16929816,16972118,17,TNFRSF13B,ENSMUSG00000010142,Tnfrsf13b,11,61126755,61149372,ortholog_one2one,0,100.00
ENSG00000133030,ENSG00000133030.22,17042457,17217679,17,MPRIP,ENSMUSG00000005417,Mprip,11,59661305,59780860,ortholog_one2one,1,100.00
ENSG00000179598,ENSG00000179598.6,17200995,17206333,17,PLD6,ENSMUSG00000043648,Pld6,11,59783897,59787645,ortholog_one2one,1,92.55
ENSG00000264187,ENSG00000264187.1,17202649,17237185,17,AC055811.2,ENSMUSG00000032633,Flcn,11,59791408,59810016,ortholog_one2one,0,100.00
ENSG00000141030,ENSG00000141030.13,17246616,17281273,17,COPS3,ENSMUSG00000019373,Cops3,11,59817795,59839838,ortholog_one2one,1,100.00
ENSG00000205309,ENSG00000205309.14,17303335,17347663,17,NT5M,ENSMUSG00000032615,Nt5m,11,59839447,59880968,ortholog_one2one,1,100.00
ENSG00000141026,ENSG00000141026.6,17476994,17493221,17,MED9,ENSMUSG00000061650,Med9,11,59948206,59962205,ortholog_one2one,1,100.00
ENSG00000108551,ENSG00000108551.5,17494437,17496395,17,RASD1,ENSMUSG00000049892,Rasd1,11,59963181,59964944,ortholog_one2one,1,100.00
ENSG00000133027,ENSG00000133027.18,17505563,17591708,17,PEMT,ENSMUSG00000000301,Pemt,11,59970614,60046489,ortholog_one2one,1,100.00
ENSG00000108557,ENSG00000108557.19,17681458,17811453,17,RAI1,ENSMUSG00000062115,Rai1,11,60105013,60199197,ortholog_one2one,1,100.00
ENSG00000072310,ENSG00000072310.17,17810399,17837011,17,SREBF1,ENSMUSG00000020538,Srebf1,11,60199089,60222581,ortholog_one2one,1,100.00
ENSG00000175662,ENSG00000175662.18,17843511,17972422,17,TOM1L2,ENSMUSG00000000538,Tom1l2,11,60226714,60352905,ortholog_one2one,1,100.00
ENSG00000171962,ENSG00000171962.18,17972813,18016889,17,DRC3,ENSMUSG00000056598,Drc3,11,60353329,60394341,ortholog_one2one,1,100.00
ENSG00000171953,ENSG00000171953.16,17977409,18039209,17,ATPAF2,ENSMUSG00000042709,Atpaf2,11,60400626,60418457,ortholog_one2one,1,100.00
ENSG00000141034,ENSG00000141034.10,18039408,18068405,17,GID4,ENSMUSG00000018415,Gid4,11,60417145,60450927,ortholog_one2one,1,100.00
ENSG00000108591,ENSG00000108591.10,18087892,18107970,17,DRG2,ENSMUSG00000020537,Drg2,11,60454591,60468754,ortholog_one2one,1,100.00
ENSG00000091536,ENSG00000091536.19,18108706,18179802,17,MYO15A,ENSMUSG00000042678,Myo15,11,60469339,60528369,ortholog_one2one,1,100.00
ENSG00000091542,ENSG00000091542.9,18183078,18209954,17,ALKBH5,ENSMUSG00000042650,Alkbh5,11,60536381,60558512,ortholog_one2one,1,100.00
ENSG00000131899,ENSG00000131899.11,18225635,18244875,17,LLGL1,ENSMUSG00000020536,Llgl1,11,60699723,60714186,ortholog_one2one,1,100.00
ENSG00000177731,ENSG00000177731.16,18244815,18258738,17,FLII,ENSMUSG00000002812,Flii,11,60714123,60727263,ortholog_one2one,1,100.00
ENSG00000177427,ENSG00000177427.13,18260597,18266552,17,MIEF2,ENSMUSG00000018599,Mief2,11,60728398,60732951,ortholog_one2one,1,100.00
ENSG00000177302,ENSG00000177302.15,18271428,18315007,17,TOP3A,ENSMUSG00000002814,Top3a,11,60740058,60777365,ortholog_one2one,1,100.00
ENSG00000176994,ENSG00000176994.11,18315293,18328056,17,SMCR8,ENSMUSG00000049323,Smcr8,11,60777524,60788287,ortholog_one2one,1,100.00
ENSG00000176974,ENSG00000176974.20,18327860,18363563,17,SHMT1,ENSMUSG00000020534,Shmt1,11,60788104,60811718,ortholog_one2one,1,100.00
ENSG00000108448,ENSG00000108448.21,18697998,18736118,17,TRIM16L,ENSMUSG00000047821,Trim16,11,62820231,62850808,ortholog_one2many,1,88.87
ENSG00000171931,ENSG00000171931.13,18744026,18779349,17,FBXW10,ENSMUSG00000090173,Fbxw10,11,62847069,62877465,ortholog_one2one,1,98.63
ENSG00000171928,ENSG00000171928.14,18781111,18806714,17,TVP23B,ENSMUSG00000014177,Tvp23b,11,62879455,62916780,ortholog_one2many,1,100.00
ENSG00000141127,ENSG00000141127.15,18840085,18931287,17,PRPSAP2,ENSMUSG00000020528,Prpsap2,11,61729650,61762088,ortholog_one2one,1,100.00
ENSG00000154025,ENSG00000154025.16,18950345,19022595,17,SLC5A10,ENSMUSG00000042371,Slc5a10,11,61672781,61720826,ortholog_one2one,1,99.97
ENSG00000188522,ENSG00000188522.15,18968789,19004764,17,FAM83G,ENSMUSG00000042377,Fam83g,11,61684091,61709951,ortholog_one2one,1,100.00
ENSG00000154016,ENSG00000154016.14,19020656,19047011,17,GRAP,ENSMUSG00000004837,Grap,11,61653265,61672784,ortholog_one2many,1,100.00
ENSG00000189152,ENSG00000189152.11,19127535,19159187,17,GRAPL,ENSMUSG00000004837,Grap,11,61653265,61672784,ortholog_one2many,0,75.63
ENSG00000072134,ENSG00000072134.15,19215615,19336715,17,EPN2,ENSMUSG00000001036,Epn2,11,61517249,61579687,ortholog_one2one,1,100.00
ENSG00000108641,ENSG00000108641.19,19334308,19378193,17,B9D1,ENSMUSG00000001039,B9d1,11,61505144,61512931,ortholog_one2one,1,100.00
ENSG00000166484,ENSG00000166484.20,19377721,19383544,17,MAPK7,ENSMUSG00000001034,Mapk7,11,61488812,61494406,ortholog_one2one,1,100.00
ENSG00000166482,ENSG00000166482.12,19383442,19387190,17,MFAP4,ENSMUSG00000042436,Mfap4,11,61485431,61488900,ortholog_one2one,1,100.00
ENSG00000128482,ENSG00000128482.16,19411125,19417276,17,RNF112,ENSMUSG00000010086,Rnf112,11,61448442,61454131,ortholog_one2one,1,100.00
ENSG00000142494,ENSG00000142494.13,19495385,19579034,17,SLC47A1,ENSMUSG00000010122,Slc47a1,11,61343401,61378345,ortholog_one2one,1,100.00
ENSG00000072210,ENSG00000072210.19,19648136,19685760,17,ALDH3A2,ENSMUSG00000010025,Aldh3a2,11,61223417,61267464,ortholog_one2one,1,100.00
ENSG00000252349,ENSG00000252349.1,19662000,19662090,17,AC005722.2,ENSMUSG00000088670,Gm23663,11,119746401,119746480,ortholog_one2one,0,
ENSG00000108602,ENSG00000108602.18,19737984,19748943,17,ALDH3A1,ENSMUSG00000019102,Aldh3a1,11,61207537,61218421,ortholog_one2one,1,100.00
ENSG00000083290,ENSG00000083290.20,19770829,19867936,17,ULK2,ENSMUSG00000004798,Ulk2,11,61775649,61855073,ortholog_one2one,1,100.00
ENSG00000108599,ENSG00000108599.15,19904302,19978343,17,AKAP10,ENSMUSG00000047804,Akap10,11,61871307,61930252,ortholog_one2one,1,100.00
ENSG00000128487,ENSG00000128487.16,20009344,20319026,17,SPECC1,ENSMUSG00000042331,Specc1,11,61956763,62223013,ortholog_one2one,1,100.00
ENSG00000124422,ENSG00000124422.12,20999596,21043760,17,USP22,ENSMUSG00000042506,Usp22,11,61151785,61175055,ortholog_one2one,1,100.00
ENSG00000109016,ENSG00000109016.17,21123364,21193265,17,DHRS7B,ENSMUSG00000042569,Dhrs7b,11,60830631,60860195,ortholog_one2one,1,100.00
ENSG00000178307,ENSG00000178307.10,21197954,21214176,17,TMEM11,ENSMUSG00000043284,Tmem11,11,60864452,60879272,ortholog_one2one,1,100.00
ENSG00000274180,ENSG00000274180.1,21238870,21253410,17,NATD1,ENSMUSG00000018931,Natd1,11,60902246,60914750,ortholog_one2one,1,100.00
ENSG00000034152,ENSG00000034152.19,21284672,21315232,17,MAP2K3,ENSMUSG00000018932,Map2k3,11,60932033,60952811,ortholog_one2one,1,100.00
ENSG00000184185,ENSG00000184185.10,21376357,21419870,17,KCNJ12,ENSMUSG00000042529,Kcnj12,11,61022564,61071131,ortholog_one2many,1,100.00
ENSG00000260458,ENSG00000260458.3,21692523,21704612,17,KCNJ18,ENSMUSG00000042529,Kcnj12,11,61022564,61071131,ortholog_one2many,1,100.00
ENSG00000109046,ENSG00000109046.15,27294076,27315926,17,WSB1,ENSMUSG00000017677,Wsb1,11,79239372,79254671,ortholog_one2one,1,100.00
ENSG00000141068,ENSG00000141068.14,27456470,27626438,17,KSR1,ENSMUSG00000018334,Ksr1,11,79013440,79146407,ortholog_one2one,1,100.00
ENSG00000007171,ENSG00000007171.18,27756766,27800529,17,NOS2,ENSMUSG00000020826,Nos2,11,78920787,78960254,ortholog_one2one,1,100.00
ENSG00000266202,ENSG00000266202.1,27798806,27893365,17,AC005697.1,ENSMUSG00000072640,Lyrm9,11,78826584,78846870,ortholog_one2many,0,74.63
ENSG00000232859,ENSG00000232859.10,27878314,27894752,17,LYRM9,ENSMUSG00000072640,Lyrm9,11,78826584,78846870,ortholog_one2many,1,100.00
ENSG00000251818,ENSG00000251818.1,28018770,28018907,17,AC090287.1,ENSMUSG00000089209,Gm26215,6,53010394,53010532,ortholog_many2many,0,
ENSG00000251818,ENSG00000251818.1,28018770,28018907,17,AC090287.1,ENSMUSG00000089389,Gm24682,5,123518231,123518367,ortholog_many2many,0,
ENSG00000087095,ENSG00000087095.13,28041737,28196381,17,NLK,ENSMUSG00000017376,Nlk,11,78567168,78697373,ortholog_one2one,1,100.00
ENSG00000109084,ENSG00000109084.14,28319200,28328685,17,TMEM97,ENSMUSG00000037278,Tmem97,11,78541817,78550777,ortholog_one2one,1,100.00
ENSG00000109083,ENSG00000109083.14,28328325,28335489,17,IFT20,ENSMUSG00000001105,Ift20,11,78536361,78541737,ortholog_one2one,1,100.00
ENSG00000109079,ENSG00000109079.10,28335602,28347009,17,TNFAIP1,ENSMUSG00000017615,Tnfaip1,11,78522850,78536332,ortholog_one2one,1,100.00
ENSG00000004142,ENSG00000004142.12,28346633,28357527,17,POLDIP2,ENSMUSG00000001100,Poldip2,11,78512193,78522736,ortholog_one2one,1,100.00
ENSG00000244045,ENSG00000244045.13,28357642,28363683,17,TMEM199,ENSMUSG00000051232,Tmem199,11,78507055,78512172,ortholog_one2one,1,100.00
ENSG00000274529,ENSG00000274529.5,28364268,28365244,17,SEBOX,ENSMUSG00000001103,Sebox,11,78503447,78505081,ortholog_one2one,1,100.00
ENSG00000273171,ENSG00000273171.1,28364288,28368012,17,AC002094.3,ENSMUSG00000017344,Vtn,11,78499091,78502324,ortholog_one2many,0,57.67
ENSG00000004139,ENSG00000004139.14,28364356,28404049,17,SARM1,ENSMUSG00000050132,Sarm1,11,78472330,78497754,ortholog_one2one,1,100.00
ENSG00000109072,ENSG00000109072.14,28367284,28373091,17,VTN,ENSMUSG00000017344,Vtn,11,78499091,78502324,ortholog_one2many,1,99.54
ENSG00000076351,ENSG00000076351.13,28394642,28407197,17,SLC46A1,ENSMUSG00000020829,Slc46a1,11,78465697,78472059,ortholog_one2one,1,100.00
ENSG00000258472,ENSG00000258472.9,28455752,28614185,17,AC005726.1,ENSMUSG00000002055,Spag5,11,78301529,78322457,ortholog_one2many,0,76.50
ENSG00000007216,ENSG00000007216.15,28473293,28497781,17,SLC13A2,ENSMUSG00000001095,Slc13a2,11,78397087,78422217,ortholog_one2one,1,100.00
ENSG00000109101,ENSG00000109101.7,28506243,28538896,17,FOXN1,ENSMUSG00000002057,Foxn1,11,78357577,78386558,ortholog_one2one,1,100.00
ENSG00000109103,ENSG00000109103.12,28546708,28552631,17,UNC119,ENSMUSG00000002058,Unc119,11,78343482,78349164,ortholog_one2one,1,100.00
ENSG00000087111,ENSG00000087111.21,28553383,28571794,17,PIGS,ENSMUSG00000041958,Pigs,11,78328415,78342782,ortholog_one2one,1,100.00
ENSG00000109107,ENSG00000109107.14,28573115,28576948,17,ALDOC,ENSMUSG00000017390,Aldoc,11,78322968,78327781,ortholog_one2one,1,100.00
ENSG00000076382,ENSG00000076382.17,28577565,28599025,17,SPAG5,ENSMUSG00000002055,Spag5,11,78301529,78322457,ortholog_one2many,1,99.51
ENSG00000167524,ENSG00000167524.16,28601827,28614197,17,RSKR,ENSMUSG00000037593,Rskr,11,78290841,78296805,ortholog_one2one,1,99.52
ENSG00000007202,ENSG00000007202.15,28614446,28645454,17,KIAA0100,ENSMUSG00000010277,2610507B11Rik,11,78261752,78290623,ortholog_one2one,1,100.00
ENSG00000132581,ENSG00000132581.10,28648346,28662189,17,SDF2,ENSMUSG00000002064,Sdf2,11,78245746,78255496,ortholog_one2one,1,100.00
ENSG00000109111,ENSG00000109111.15,28662198,28702679,17,SUPT6H,ENSMUSG00000002052,Supt6,11,78206746,78245987,ortholog_one2one,1,100.00
ENSG00000167525,ENSG00000167525.14,28703197,28711854,17,PROCA1,ENSMUSG00000044122,Proca1,11,78193392,78205763,ortholog_one2one,0,99.69
ENSG00000109113,ENSG00000109113.20,28714281,28718429,17,RAB34,ENSMUSG00000002059,Rab34,11,78188430,78192193,ortholog_one2one,1,100.00
ENSG00000238423,ENSG00000238423.1,28720550,28720616,17,SNORD42B,ENSMUSG00000065676,Snord42b,11,78183056,78183124,ortholog_one2one,1,
ENSG00000238578,ENSG00000238578.1,28722582,28722653,17,SNORD4A,ENSMUSG00000077625,Snord4a,11,78181686,78181756,ortholog_one2one,0,
ENSG00000238649,ENSG00000238649.1,28723429,28723492,17,SNORD42A,ENSMUSG00000064540,Snord42a,11,78181299,78181363,ortholog_one2one,0,
ENSG00000160606,ENSG00000160606.11,28724348,28727935,17,TLCD1,ENSMUSG00000019437,Tlcd1,11,78176711,78181909,ortholog_one2one,1,100.00
ENSG00000160602,ENSG00000160602.14,28725897,28743455,17,NEK8,ENSMUSG00000017405,Nek8,11,78166106,78176675,ortholog_one2one,1,100.00
ENSG00000076604,ENSG00000076604.15,28744005,28750956,17,TRAF4,ENSMUSG00000017386,Traf4,11,78158499,78165589,ortholog_one2one,1,100.00
ENSG00000173065,ENSG00000173065.13,28755978,28855232,17,FAM222B,ENSMUSG00000037750,Fam222b,11,78094660,78156700,ortholog_one2one,1,100.00
ENSG00000132591,ENSG00000132591.12,28855010,28861061,17,ERAL1,ENSMUSG00000020832,Eral1,11,78073376,78080383,ortholog_one2one,1,100.00
ENSG00000283819,ENSG00000283819.1,28861533,28861618,17,MIR144,ENSMUSG00000065401,Mir144,11,78073005,78073070,ortholog_one2one,1,
ENSG00000132589,ENSG00000132589.16,28879335,28897733,17,FLOT2,ENSMUSG00000061981,Flot2,11,78037931,78060434,ortholog_one2one,1,100.00
ENSG00000167536,ENSG00000167536.14,28897781,28903079,17,DHRS13,ENSMUSG00000020834,Dhrs13,11,78032280,78037866,ortholog_one2one,1,100.00
ENSG00000109118,ENSG00000109118.14,28905250,28951771,17,PHF12,ENSMUSG00000037791,Phf12,11,77982754,78030539,ortholog_one2one,1,100.00
ENSG00000179761,ENSG00000179761.12,28950513,29057216,17,PIPOX,ENSMUSG00000017453,Pipox,11,77880615,77894096,ortholog_one2one,1,100.00
ENSG00000063015,ENSG00000063015.20,28954901,29006440,17,SEZ6,ENSMUSG00000000632,Sez6,11,77930800,77979048,ortholog_one2one,1,100.00
ENSG00000196535,ENSG00000196535.16,29071124,29180412,17,MYO18A,ENSMUSG00000000631,Myo18a,11,77763246,77865980,ortholog_one2one,1,100.00
ENSG00000108255,ENSG00000108255.8,29246859,29254494,17,CRYBA1,ENSMUSG00000000724,Cryba1,11,77718615,77725283,ortholog_one2one,1,100.00
ENSG00000108256,ENSG00000108256.9,29255839,29294148,17,NUFIP2,ENSMUSG00000037857,Nufip2,11,77686155,77741921,ortholog_one2one,1,100.00
ENSG00000222363,ENSG00000222363.1,29388560,29388683,17,RNU4-34P,ENSMUSG00000084555,Gm25270,4,133797582,133797719,ortholog_one2one,1,
ENSG00000160551,ENSG00000160551.11,29390464,29551904,17,TAOK1,ENSMUSG00000017291,Taok1,11,77529162,77607815,ortholog_one2one,1,100.00
ENSG00000168792,ENSG00000168792.5,29560547,29567037,17,ABHD15,ENSMUSG00000000686,Abhd15,11,77515121,77538607,ortholog_one2one,1,100.00
ENSG00000167543,ENSG00000167543.16,29566052,29573157,17,TP53I13,ENSMUSG00000044328,Trp53i13,11,77508099,77515980,ortholog_one2one,1,100.00
ENSG00000108262,ENSG00000108262.16,29573475,29594054,17,GIT1,ENSMUSG00000011877,Git1,11,77493562,77507786,ortholog_one2one,1,100.00
ENSG00000198720,ENSG00000198720.13,29589769,29614761,17,ANKRD13B,ENSMUSG00000037907,Ankrd13b,11,77470485,77489678,ortholog_one2one,1,100.00
ENSG00000167549,ENSG00000167549.18,29614756,29622907,17,CORO6,ENSMUSG00000020836,Coro6,11,77462411,77470484,ortholog_one2one,1,100.00
ENSG00000141298,ENSG00000141298.19,29625938,29930276,17,SSH2,ENSMUSG00000037926,Ssh2,11,77216287,77460220,ortholog_one2one,1,100.00
ENSG00000252657,ENSG00000252657.1,29777619,29777744,17,SNORA70,ENSMUSG00000088005,Gm24787,15,73349799,73349921,ortholog_one2one,1,
ENSG00000176927,ENSG00000176927.15,29929200,30108452,17,EFCAB5,ENSMUSG00000050944,Efcab5,11,77089915,77188968,ortholog_one2one,1,96.34
ENSG00000126653,ENSG00000126653.18,30115521,30186475,17,NSRP1,ENSMUSG00000037958,Nsrp1,11,77044292,77078435,ortholog_one2one,1,100.00
ENSG00000266919,ENSG00000266919.3,30117079,30117172,17,hsa-mir-423,ENSMUSG00000065518,Mir423,11,77078064,77078172,ortholog_one2many,0,
ENSG00000283935,ENSG00000283935.1,30117079,30117172,17,MIR423,ENSMUSG00000065518,Mir423,11,77078064,77078172,ortholog_one2many,1,
ENSG00000108576,ENSG00000108576.10,30194319,30236002,17,SLC6A4,ENSMUSG00000020838,Slc6a4,11,76998603,77032340,ortholog_one2one,1,100.00
ENSG00000108578,ENSG00000108578.15,30248203,30292056,17,BLMH,ENSMUSG00000020840,Blmh,11,76924809,76987379,ortholog_one2one,1,100.00
ENSG00000182271,ENSG00000182271.13,30316333,30334059,17,TMIGD1,ENSMUSG00000020839,Tmigd1,11,76902159,76916587,ortholog_one2one,1,100.00
ENSG00000108582,ENSG00000108582.12,30378927,30469989,17,CPD,ENSMUSG00000020841,Cpd,11,76778424,76847018,ortholog_one2one,1,100.00
ENSG00000108587,ENSG00000108587.16,30477362,30527592,17,GOSR1,ENSMUSG00000010392,Gosr1,11,76726602,76763579,ortholog_one2one,1,100.00
ENSG00000176390,ENSG00000176390.12,30769388,30824692,17,CRLF3,ENSMUSG00000017561,Crlf3,11,80046493,80080991,ortholog_one2one,1,100.00
ENSG00000176208,ENSG00000176208.9,30831966,30895869,17,ATAD5,ENSMUSG00000017550,Atad5,11,80089400,80135794,ortholog_one2one,1,100.00
ENSG00000172171,ENSG00000172171.11,30897336,30906238,17,TEFM,ENSMUSG00000046909,Tefm,11,80136678,80142175,ortholog_one2one,1,100.00
ENSG00000184060,ENSG00000184060.11,30906344,30959322,17,ADAP2,ENSMUSG00000020709,Adap2,11,80154105,80178958,ortholog_one2one,1,100.00
ENSG00000196712,ENSG00000196712.18,31094927,31382116,17,NF1,ENSMUSG00000020716,Nf1,11,79339693,79581612,ortholog_one2one,1,100.00
